dataId,data,time,src
4,"[0.10090514505560007, 0.9014492443500405, 0.10314518512152784, 0.096972609979203, 0.0957399545525334, 0.09988136193478052, 0.09894602065201465, 0.09930649674007083, 0.9002176567088612, 0.09971955061891259, 0.8975091179299199, 0.10400833185114713, 0.8978243158201298, 0.1029547749297335, 0.9029632645716563, 0.10288136684727325, 0.10218783928242464, 0.09956847484111293, 0.09786672720057334, 0.8999716506323938, 0.89584660708823, 0.9020336448622618, 0.09812776289077794, 0.1007118597867375, 0.10010290923878232, 0.09553423485945269, 0.09843804658699798, 0.09867559854391397, 0.10035982914901548, 0.10123296383993434, 0.8991348790327832, 0.1054944555492468, 0.09960158603261217, 0.9020387329797066, 0.8995825506935978, 0.09832708721496271, 0.097657759100803, 0.10170240778478513, 0.10165843930928718, 0.907793515556122, 0.9013116122388509, 0.10126951310774997, 0.1031681153842621, 0.10216489934010088, 0.90074464478788, 0.09664478466370381, 0.09875624143792326, 0.09884533770218201, 0.8996008508178801, 0.09944637668101912]",216,4
5,"[0.9009051450555955, 0.9014492443500405, 0.10314518512152784, 0.096972609979203, 0.0957399545525334, 0.09988136193478052, 0.09894602065201465, 0.8993064967400656, 0.9002176567088612, 0.8997195506189115, 0.09750911792991855, 0.9040083318511479, 0.8978243158201298, 0.9029547749297275, 0.10296326457165923, 0.10288136684727325, 0.10218783928242464, 0.09956847484111293, 0.09786672720057334, 0.0999716506323976, 0.09584660708823377, 0.1020336448622678, 0.8981277628907717, 0.1007118597867375, 0.10010290923878232, 0.09553423485945269, 0.8984380465869948, 0.09867559854391397, 0.10035982914901548, 0.10123296383993434, 0.09913487903278279, 0.1054944555492468, 0.09960158603261217, 0.9020387329797066, 0.09958255069359795, 0.8983270872149588, 0.097657759100803, 0.10170240778478513, 0.9016584393092838, 0.10779351555612174, 0.9013116122388509, 0.10126951310774997, 0.9031681153842563, 0.10216489934010088, 0.10074464478787917, 0.09664478466370381, 0.09875624143792326, 0.09884533770218201, 0.09960085081788676, 0.09944637668101912]",216,4
129,[0.0036],217,2
7,[1.0],217,3
128,[120.00298182592822],217,3
3,"[0.11007560304844982, 0.777642229287466, 0.11056048891861354, 0.00753990006699923]",217,3
4,"[0.09986094123353097, 0.9013648541643342, 0.10044860162824158, 0.10118964524834904, 0.09957798939018808, 0.10204645633383784, 0.10586513004941517, 0.09944876408710329, 0.9038934644718866, 0.10261948940663465, 0.8998950177567409, 0.10253488383482484, 0.9000309346619747, 0.09647774889560701, 0.90207196690365, 0.10301279431253876, 0.09847769330109993, 0.10257387669310304, 0.09796409916316189, 0.8962657845549705, 0.9001580805153716, 0.8965669966058876, 0.09928667877158796, 0.09981011855505813, 0.10070530394258224, 0.09686890720247829, 0.10034751288421644, 0.10135533309722022, 0.10030598731712603, 0.10276586455455859, 0.9009444004420591, 0.09893353801615783, 0.10022418368981269, 0.8959210905951258, 0.9026117184898514, 0.09902879717996171, 0.10121079175063594, 0.09978622345568113, 0.10324550026605907, 0.8970571455514934, 0.9016022344601896, 0.10130957639444357, 0.10263771455054532, 0.10396714870829596, 0.9017607328607609, 0.09923894379463316, 0.09945879900299608, 0.09672381726446944, 0.9011039031001412, 0.10137251871720931]",217,4
5,"[0.8998609412335269, 0.9013648541643342, 0.10044860162824158, 0.10118964524834904, 0.09957798939018808, 0.10204645633383784, 0.10586513004941517, 0.8994487640870977, 0.9038934644718866, 0.9026194894066343, 0.09989501775674103, 0.9025348838348252, 0.9000309346619747, 0.8964777488956003, 0.10207196690365378, 0.10301279431253876, 0.09847769330109993, 0.10257387669310304, 0.09796409916316189, 0.09626578455497387, 0.10015808051537521, 0.09656699660589398, 0.8992866787715815, 0.09981011855505813, 0.10070530394258224, 0.09686890720247829, 0.9003475128842132, 0.10135533309722022, 0.10030598731712603, 0.10276586455455859, 0.10094440044205799, 0.09893353801615783, 0.10022418368981269, 0.8959210905951258, 0.10261171848985112, 0.8990287971799579, 0.10121079175063594, 0.09978622345568113, 0.9032455002660568, 0.09705714555149393, 0.9016022344601896, 0.10130957639444357, 0.9026377145505396, 0.10396714870829596, 0.10176073286075972, 0.09923894379463316, 0.09945879900299608, 0.09672381726446944, 0.10110390310014751, 0.10137251871720931]",217,4
6,[0.9000630480955121],217,2
4,"[0.10009650354980958, 0.9017215937761679, 0.09902018217357732, 0.10227229830591242, 0.09854095483311832, 0.1016059417073845, 0.09654825361694003, 0.10211127181738806, 0.8989878011708662, 0.10333455384482948, 0.898266202324071, 0.10130912106779276, 0.900076242447349, 0.10106670389801514, 0.9015220663879907, 0.10109310558475569, 0.10310752935033174, 0.1027900422457243, 0.10043804104635372, 0.8997228198022305, 0.8991415581650505, 0.9008298810594328, 0.10161400493366048, 0.10248231283978047, 0.10190087002456115, 0.10038043539127522, 0.10316427438939874, 0.10178750073501767, 0.10053048976604259, 0.10044343231055661, 0.8971388270294383, 0.10090312472947492, 0.10091840210524078, 0.9026082460198639, 0.9002898370522344, 0.09969244955675727, 0.10154144881154846, 0.10421995679375516, 0.10092663489364603, 0.9022405587381825, 0.8986935456237294, 0.09635131802068646, 0.09712184134725552, 0.09941008304269182, 0.8984495904132547, 0.09910935335240517, 0.09845983477396798, 0.09891461428671705, 0.9030535620276408, 0.1033204740572776]",218,4
129,[0.0036],218,2
3,"[0.10937818876971116, 0.7789438262913164, 0.1102951610575796, 0.007296797760669037]",218,3
128,[120.00299469124266],218,3
7,[1.0],218,3
6,[0.9003490286127619],218,2
5,"[0.9000965035498055, 0.9017215937761679, 0.09902018217357732, 0.10227229830591242, 0.09854095483311832, 0.1016059417073845, 0.09654825361694003, 0.9021112718173818, 0.8989878011708662, 0.9033345538448293, 0.09826620232407056, 0.901309121067793, 0.900076242447349, 0.9010667038980092, 0.10152206638799419, 0.10109310558475569, 0.10310752935033174, 0.1027900422457243, 0.10043804104635372, 0.09972281980223359, 0.09914155816505431, 0.10082988105943985, 0.9016140049336551, 0.10248231283978047, 0.10190087002456115, 0.10038043539127522, 0.9031642743893954, 0.10178750073501767, 0.10053048976604259, 0.10044343231055661, 0.09713882702943667, 0.10090312472947492, 0.10091840210524078, 0.9026082460198639, 0.10028983705223317, 0.8996924495567535, 0.10154144881154846, 0.10421995679375516, 0.9009266348936431, 0.10224055873818298, 0.8986935456237294, 0.09635131802068646, 0.89712184134725, 0.09941008304269182, 0.09844959041325238, 0.09910935335240517, 0.09845983477396798, 0.09891461428671705, 0.10305356202764672, 0.1033204740572776]",218,4
129,[0.0036],219,2
6,[0.899391178100944],219,2
3,"[0.1096908157173061, 0.7767786982696846, 0.11005491110137915, 0.008337232032139373]",219,3
7,[1.0],219,3
